,CountryOfExploitation,citizenship,majorityStatus,gender,yearOfRegistration,isForcedLabour,isSexualExploit,isOtherExploit,Cases,"Adolescent fertility rate (births per 1,000 women ages 15-19)_expl_country","Age at first marriage, female_expl_country","Age at first marriage, male_expl_country","Mortality rate, under-5, male (per 1,000)_expl_country","Mortality rate, under-5, female (per 1,000)_expl_country","Mortality rate, under-5 (per 1,000)_expl_country","Mortality rate, neonatal (per 1,000 live births)_expl_country","Mortality rate, adult, male (per 1,000 male adults)_expl_country","Mortality rate, adult, female (per 1,000 female adults)_expl_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_expl_country,"Unemployment, female (% of female labor force)_expl_country","Unemployment, male (% of male labor force)_expl_country","Unemployment, total (% of total labor force)_expl_country","Adolescent fertility rate (births per 1,000 women ages 15-19)_cit_country","Age at first marriage, female_cit_country","Age at first marriage, male_cit_country","Mortality rate, under-5, male (per 1,000)_cit_country","Mortality rate, under-5, female (per 1,000)_cit_country","Mortality rate, under-5 (per 1,000)_cit_country","Mortality rate, neonatal (per 1,000 live births)_cit_country","Mortality rate, adult, male (per 1,000 male adults)_cit_country","Mortality rate, adult, female (per 1,000 female adults)_cit_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_cit_country,"Unemployment, female (% of female labor force)_cit_country","Unemployment, male (% of male labor force)_cit_country","Unemployment, total (% of total labor force)_cit_country"
0,AE,BY,Adult,Female,2004,0.0,11.0,0.0,11,27.3122,..,..,11.1,8.8,10,5.3,99.955,73.524,..,6.3899998664856,2.72099995613098,3.17600011825562,23.5006,..,..,10.5,7.9,9.2,4,362.612,128.963,..,7.5479998588562,10.7749996185303,9.18599987030029
1,AE,BY,Adult,Female,2005,54.0,54.0,0.0,54,28.1738,25.3,26.8,10.8,8.6,9.7,5.2,97.245,70.541,..,7.22100019454956,2.55699992179871,3.11999988555908,23.1054,22.7,..,9.6,7.3,8.5,3.5,369.192,127.967,..,6.83400011062622,10.0430002212524,8.46000003814697
2,AE,ID,Adult,Female,2014,290.0,0.0,0.0,290,12.6804,..,..,8.7,7,7.9,4.3,81.739,57.493,..,5.21400022506714,1.67700004577637,2.21199989318848,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
3,AE,ID,Adult,Female,2017,36.0,0.0,0.0,36,6.546,..,..,8.5,6.8,7.7,4.1,78.066,54.933,..,7.13600015640259,1.48000001907349,2.46300005912781,47.374,22.4,27.1,28.4,22.9,25.7,13.4,202.511,141.206,7.1,3.9210000038147,4.35200023651123,4.18499994277954
4,AE,PH,unknown,Female,2016,13.0,0.0,0.0,13,8.5908,..,..,8.6,6.9,7.8,4.2,79.29,55.786,..,4.19999980926514,1.11899995803833,1.6360000371933,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
5,AE,UA,Adult,Female,2006,0.0,32.0,0.0,32,29.0354,..,..,10.5,8.4,9.4,5,94.535,67.557,..,6.68200016021729,2.17400002479553,2.70300006866455,30.1846,..,..,15.4,12.4,13.9,8.4,384.568,142.426,..,6.60200023651123,7.00299978256226,6.80999994277954
6,AE,UA,Adult,Female,2007,0.0,68.0,0.0,68,29.897,..,..,10.2,8.1,9.2,4.9,91.826,64.574,..,5.8289999961853,1.60099995136261,2.08100008964539,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332
7,AF,AF,Minor,Male,2013,12.0,0.0,0.0,12,94.429,..,..,80.5,73,76.8,43,257.135,215.307,..,14.6800003051758,10.8920001983643,11.5340003967285,94.429,..,..,80.5,73,76.8,43,257.135,215.307,..,14.6800003051758,10.8920001983643,11.5340003967285
8,AF,AF,Minor,Male,2014,71.0,0.0,0.0,71,88.061,..,..,77.2,69.8,73.6,41.6,252.93,211.026,..,14.5050001144409,10.7840003967285,11.4479999542236,88.061,..,..,77.2,69.8,73.6,41.6,252.93,211.026,..,14.5050001144409,10.7840003967285,11.4479999542236
9,AL,AL,Adult,Female,2005,0.0,0.0,0.0,22,18.611,24.6,..,22.3,17.5,20,10.6,109.069,59.914,..,16.9190006256104,16.1270008087158,16.4599990844727,18.611,24.6,..,22.3,17.5,20,10.6,109.069,59.914,..,16.9190006256104,16.1270008087158,16.4599990844727
